Player, Tournament#, Hands, Buy-In, Net Won, Chips Won, All-In Adj
ValenciaPL, 2685584612,29, $28.2+$1.8, 0, 1000, 721.9354343434343
ValenciaPL, 2685584742,31, $28.2+$1.8, 0, -500, -192.79315000000003
ValenciaPL, 2685584841,31, $28.2+$1.8, 0, -500, -997.9096300000001
ValenciaPL, 2685587575,19, $28.2+$1.8, 0, -500, -72.52250000000004
ValenciaPL, 2685588964,36, $28.2+$1.8, 0, 1000, 902.067510909091
ValenciaPL, 2685589637,23, $28.2+$1.8, 0, -500.0675, -583.9656717171716
ValenciaPL, 2685590239,7, $28.2+$1.8, 0, 1000, 551.7171717171717
ValenciaPL, 2685591395,11, $28.2+$1.8, 0, -500, -39.524
ValenciaPL, 2685592542,25, $28.2+$1.8, 0, 1000, 288.0462
ValenciaPL, 2685594961,23, $28.2+$1.8, 0, -500, -207.5578348484848
ValenciaPL, 2685595124,23, $28.2+$1.8, 0, 1004.4312, 337.7945500000001
ValenciaPL, 2685597537,44, $28.2+$1.8, 0, -500.04560000000004, -257.69635
ValenciaPL, 2685599112,22, $28.2+$1.8, 0, 1000, 522.6162999999999
ValenciaPL, 2685600861,30, $28.2+$1.8, 0, -500, -499.73837
ValenciaPL, 2685602178,37, $28.2+$1.8, 0, -500, 319.0642799999998
ValenciaPL, 2685602520,10, $28.2+$1.8, 0, -500, -445.07505
ValenciaPL, 2685604114,37, $28.2+$1.8, 0, 1000, -636.1207999999999
ValenciaPL, 2685604278,38, $28.2+$1.8, 0, 970, 508.8143999999999
ValenciaPL, 2685606781,24, $28.2+$1.8, 0, -500, -393.3636363636364
ValenciaPL, 2685609402,9, $28.2+$1.8, 0, -500, -342.27694999999994
ValenciaPL, 2685609797,11, $28.2+$1.8, 0, 1000, 786.1818181818181
ValenciaPL, 2685610005,22, $28.2+$1.8, 0, -520, 22.65844999999996
ValenciaPL, 2685610218,69, $28.2+$1.8, 0, 1000, -90.91880000000009
